,Pais,Media_Duracao_Musica,Continente
0,Afghanistan,4.5055555555555555,Asia
1,Albania,4.466239316239316,Europe
2,Algeria,4.343333333333334,Africa
3,American Samoa,4.135648148148148,Oceania
4,Andorra,4.231439393939394,Europe
5,Angola,3.9887387387387387,Africa
6,Anguilla,3.9745098039215687,Central America
7,Antigua and Barbuda,4.057070707070707,Central America
8,Argentina,4.215151515151515,South America
9,Armenia,4.905,Asia
10,Aruba,4.319230769230769,Central America
11,Australia,4.17875,Oceania
12,Austria,4.125396825396826,Europe
13,Azerbaijan,4.4191666666666665,Asia
14,Bahamas,3.9410714285714286,Central America
15,Bahrain,4.150925925925926,Asia
16,Bangladesh,4.902777777777778,Asia
17,Barbados,3.9971428571428573,Central America
18,Belarus,4.136936936936937,Europe
19,Belgium,4.292753623188406,Europe
20,Belize,4.326666666666667,Central America
21,Benin,4.572222222222222,Africa
22,Bermuda,3.7522727272727274,Central America
23,Bhutan,4.277777777777777,Asia
24,Bolivia,4.526356589147286,South America
25,Bosnia and Herzegovina,4.441085271317829,Europe
26,Botswana,3.9725225225225227,Africa
27,Brazil,4.012962962962963,South America
28,Brunei Darussalam,3.9734234234234234,Asia
29,Bulgaria,4.588211382113821,Europe
30,Burkina Faso,3.928828828828829,Africa
31,Burundi,4.388636363636364,Africa
32,Cambodia,4.3503968253968255,Asia
33,Cameroon,4.1230158730158735,Africa
34,Canada,4.19957264957265,North America
35,Cape Verde,3.3342857142857145,Africa
36,Cayman Islands,4.157692307692308,Central America
37,Chad,4.080416666666666,Africa
38,Chile,4.397348484848485,South America
39,China,3.959009009009009,Asia
40,Colombia,4.34375,South America
41,Congo,4.289837398373984,Africa
42,Costa Rica,4.563475177304965,Central America
43,Croatia,4.312962962962962,Europe
44,Cuba,4.059126984126984,Central America
45,Cyprus,4.28217054263566,Asia
46,Czech Republic,4.335106382978724,Europe
47,Denmark,3.8437984496124025,Europe
48,Djibouti,4.08034188034188,Africa
49,Dominica,4.019047619047619,Central America
50,Dominican Republic,4.244017094017095,Central America
51,Ecuador,4.418939393939394,South America
52,Egypt,5.123643410852713,Africa
